Objekta nosaukums,Adrese
"""Liepāja okupāciju režīmos""","Klāva Ukstiņa iela 7/9, Liepāja, LV-3401"
1991. gada barikāžu muzejs,"Krāmu iela 3, Rīga, LV-1050"
Ādolfa Alunāna memoriālais muzejs,"Filozofu iela 3, Jelgava, LV-3001"
Ainažu jūrskolas muzejs,"Valdemāra iela 47, Ainaži, Limbažu nov., LV-4035"
Ainažu Ugunsdzēsības muzejs,"Valdemāra iela 69, Ainaži, Limbažu nov., LV-4035"
Aizkraukles vēstures un mākslas muzejs,"""Kalna Ziedi"", Aizkraukle, Aizkraukles nov., LV-5101"
Aizputes novadpētniecības muzejs - tūrisma informācijas punkts,"Skolas iela 1, Aizpute, Dienvidkurzemes nov., LV-3456"
Aknīstes Novadpētniecības muzejs,"Miera iela 1, Aknīste, Jēkabpils nov., LV-5208"
Aktieru Amtmaņu muzejs,"""Zvanītāju Bukas"", Valle, Valles pag., Bauskas nov., LV-5106"
Aleksandra Čaka muzejs,"Lāčplēša iela 48 - 8, Rīga, LV-1011"
Alojas Novadpētniecības centrs,"Ausekļa iela 1, Aloja, Limbažu nov., LV-4064"
Alsungas Tūrisma informācijas un vēsturiskā mantojuma centrs,"Skolas iela 11A, Alsunga, Alsungas pag., Kuldīgas nov., LV-3306"
Alūksnes muzejs,"Pils iela 74, Alūksne, Alūksnes nov., LV-4301"
Andreja Pumpura Lielvārdes muzejs,"Edgara Kauliņa aleja 20, Lielvārde, Ogres nov., LV-5070"
Andreja Upīša memoriālais muzejs,"Brīvības iela 38-4, Rīga, LV-1050"
Andreja Upīša memoriālmāja,"Daugavas iela 58, Skrīveri, Skrīveru pag., Aizkraukles nov., LV-5125"
Andrupenes lauku sēta,"Skolas iela 5, Andrupene, Andrupenes pag., Krāslavas nov., LV-5687"
"Antona Austriņa memoriālais muzejs ""Kaikaši""","""Kaikaši"", Vecpiebalga, Vecpiebalgas pag., Cēsu nov., LV-4122"
Antona Rupaiņa muzejs,"Rītupes iela 34, Bērzgale, Bērzgales pag., Rēzeknes nov., LV-4612"
Apriķu  muzejs,"""Apriķu skola"", Apriķi, Lažas pag., Dienvidkurzemes nov., LV-3455"
Āraišu ezerpils Arheoloģiskais parks,"""Āraišu ezerpils"", Drabešu pag., Cēsu nov., LV-4101"
Aspazijas māja,"Zigfrīda Meierovica prospekts 20, Jūrmala, LV-2015"
Baldones muzejs,"""Mercendarbes muiža"", Baldones pag., Ķekavas nov., LV-2125"
Baltinavas  muzejs,"Tilžas iela 7, Baltinava, Baltinavas pag., Balvu nov., LV-4594"
Balvu Novada muzejs,"Brīvības iela 46, Balvi, Balvu nov., LV-4501"
"Bārdu dzimtas memoriālais muzejs ""Rumbiņi""","""Rumbiņi"", Katvaru pag., Limbažu nov., LV-4061"
Bārtas  muzejs,"""Bārtas muzejs"", Bārta, Bārtas pag., Dienvidkurzemes nov., LV-3482"
Bauskas muzejs,"Kalna iela 6, Bauska, Bauskas nov., LV-3901"
Bauskas pils muzejs,"""Pilskalns"", Bauska, Bauskas nov., LV-3901"
"Brāļu Jurjānu memoriālais muzejs ""Meņģeļi""","""Meņģeļi"", Ērgļu pag., Madonas nov., LV-4840"
